text,TARGET,dialogue_id,turn_id,type,source
"Blacks and civilisation are incompatible. You can have a thriving society or you can have diversity, you can’t have both.",POC,42,0,HS,dialo_gold
"I have to disagree. Some of our brightest thinkers, visionaries, inventors, scientists etc are black people. It's ignorant to dismiss the black excellence that is so influential in our society.",POC,42,1,CN,dialo_gold
"Oh yeah, like who?",POC,42,2,HS,dialo_gold
"Martin Luther King, Angela Davis, Madam C. J. Walker, Maya Angelou... need I go on?",POC,42,3,CN,dialo_gold
"I’ve never met a happy gay person. It’s a miserable, perverted lifestyle. Those people need help.",LGBT+,43,0,HS,dialo_gold
"I know plenty of happy people in the LGBT community, what can make people miserable is the homophobia they have to face!",LGBT+,43,1,CN,dialo_gold
"People who take that route in life have mental issues, I doubt homophobia is the reason they're miserable since our society is so 'woke' now.",LGBT+,43,2,HS,dialo_gold
"Your views about gay people are proof themselves that homophobia is still prevalent today. You don't have to understand other peoples identities, but respecting them costs nothing.",LGBT+,43,3,CN,dialo_gold
"Ask yourself after millions of immigrants have entered the UK, many illegally",MIGRANTS,44,0,HS,dialo_gold
"Equating all these things to immigration seems illogical. Lots of changes have happened in the last 30 years socially, culturally, economically. Surely these things have more to do with the governments that have presided in this time and the economy? Not just immigration?",MIGRANTS,44,1,CN,dialo_gold
So you feel safe with all these rapists and criminals out on our streets?,MIGRANTS,44,2,HS,dialo_gold
"You can’t assume all crime in the UK is because of immigrants. Sure, some immigrants commit crimes, but so do some British people, maybe crime rates are much more to do with poverty and people lacking opportunities in life, rather than nationality or race?",MIGRANTS,44,3,CN,dialo_gold
"Pro-trans zealots view themselves as a virtuous and inclusive subset of ""progressive modernisers"". In reality, they are responsible for the growing social erasure of women. This cultural assault on women's rights is uncivilised and not to be tolerated.",LGBT+,45,0,HS,dialo_gold
"As a woman myself, I can tell you that trans people having rights doesn't affect my rights one bit. I'd say a bigger threat to women's rights are things like low conviction rates for sexual assault, domestic violence, etc.",LGBT+,45,1,CN,dialo_gold
When their rights trump or override women’s hard won rights then it is a problem. When it affects women's safe spaces then it’s a problem. There’s evidence to show that abuse of these rights are happening.,LGBT+,45,2,HS,dialo_gold
"Okay, what rights are they infringing on, and what evidence? Trans people don’t want to cause problems for women, they just want to get on with their lives like anyone else.",LGBT+,45,3,CN,dialo_gold
"Everywhere you look on tv now, white people are being erased. Every advert has mixed race families, openly promoting miscegenation, no white men anywhere. This is all part of their plan to decimate the white race.",POC,46,0,HS,dialo_gold
"There are so many white people on tv, if you think there isn't you're obviously not paying attention!",POC,46,1,CN,dialo_gold
"There’s so many more black and Asian people on tv now, it’s ridiculous, this is what they’re trying to make us think is ‘normal’.",POC,46,2,HS,dialo_gold
"Just because there is more representation of ethnic minorities doesn’t mean there’s no white people, it’s just more proportional now. Other people being represented doesn’t mean white people are being ‘erased’ or ‘oppressed’, it just means the industry is more representative of what society actually looks like.",POC,46,3,CN,dialo_gold
"Hundreds of Muslim men, all of fighting age, arriving in boats every day. This is what invasion looks like, we must be ready to fight back.",MUSLIMS,47,0,HS,dialo_gold
"What does 'of fighting age' mean? They're not here to fight, they're here because they want a peaceful life and many are fleeing war, persecution, or hardship.",MUSLIMS,47,1,CN,dialo_gold
With the amount of them coming over they would have a lot of manpower if they came together to take over the country.,MUSLIMS,47,2,HS,dialo_gold
"That's ridiculous though, people seeking asylum or migrating here aren't all conspiring together to 'take over', sounds like you've been reading one too many conspiracy theories...",MUSLIMS,47,3,CN,dialo_gold
"The more diverse a community the less people volunteer, vote, give to charity, and trust each other. This is why blacks are incompatible with our civilisation.",POC,48,0,HS,dialo_gold
Where is this from and is it generalisable at all?,POC,48,1,CN,dialo_gold
"I read it on an academic blog, the article makes some good points about the advantages of homogenous racial communities.",POC,48,2,HS,dialo_gold
"I'd encourage you to be critical of using blogs as sources for information, it could be biased or unreliable. Maybe the reason the article came to this conclusion is because more diverse communities are likely to be poorer because of economic inequalities faced by minorities?",POC,48,3,CN,dialo_gold
Why would that make a difference?,POC,48,4,HS,dialo_gold
"Well maybe economic hardship is the reason why people in these communities volunteer, vote, and give less, because they don't have the time or resources to.",POC,48,5,CN,dialo_gold
Just read an article that explained how the Jewish elite use their positions of power to control us!,JEWS,49,0,HS,dialo_gold
Where did you read this article? Are you sure it's from a source you can trust?,JEWS,49,1,CN,dialo_gold
"It's from a website I get a lot of my news from, I would say it's pretty trustworthy.",JEWS,49,2,HS,dialo_gold
"Please read with a critical eye, you can't trust everything on the internet! This sounds like a source with an agenda, of course people in positions of power can exploit their status but the fact that the article suggests it's because they're Jewish makes me think the writer has an agenda. Maybe see if this story is being reported by any other sources too.",JEWS,49,3,CN,dialo_gold
"Just seen a story about a park in Manchester where Muslims are banning people from walking their dogs because it offends them!!! Trying to enforce sharia law, it's time we take our country back!!",MUSLIMS,50,0,HS,dialo_gold
This is actually fake news! There's a website which shows the posters put up in the park to 'ban' dog walking were put there by people trying to stir up hate against the Muslim community. Don't believe everything you read!,MUSLIMS,50,1,CN,dialo_gold
Are you sure? Sounds like something Muslims would do.,MUSLIMS,50,2,HS,dialo_gold
"Yep, here's the source showing how it was planned. A good way to check if something is real in the future is to cross reference it with other news sites, to see if other sites with different perspectives have reported on the same stories.",MUSLIMS,50,3,CN,dialo_gold
Just seen an article exposing how the trans agenda is targeting children and trying to get them to become trannies! This is madness!,LGBT+,51,0,HS,dialo_gold
Where did you read this? Are you sure it's from a reliable source? This sounds like inflammatory fake news.,LGBT+,51,1,CN,dialo_gold
"The article talked about how they want children to come to Pride, probably so they can indoctrinate them!",LGBT+,51,2,HS,dialo_gold
It sounds like you're twisting a news story about Pride being family friendly into something that it's not. Be careful how you relay news that you have read. It can be taken out of context quite easily!,LGBT+,51,3,CN,dialo_gold
Has anyone read all the stuff about the Jewish paedophile ring that controls our country? Can't believe some people think jews are 'persecuted'...,JEWS,52,0,HS,dialo_gold
Where did you read this? This sounds like it could be harmful misinformation spread to encourage hate towards Jewish people,JEWS,52,1,CN,dialo_gold
"There's a blog that posts a lot about it, you should check it out, it's insane what's going on...",JEWS,52,2,HS,dialo_gold
"Be careful when getting your news from 'blogs', they can be very unreliable, and are somethings just one persons opinions or theories, some of which are not backed up by evidence!",JEWS,52,3,CN,dialo_gold
"Have you heard about all the benefits migrants get??? 4 star hotels, hot meals, free prescriptions, all while the British public are given NOTHING. This is so unfair, what happened to helping your own first?",MIGRANTS,53,0,HS,dialo_gold
"Migrants actually don't get given a lot by the government, and asylum support benefits are much much lower than universal credit given to British citizens. They have to be put in hotels temporarily whilst they are processed.",MIGRANTS,53,1,CN,dialo_gold
"I don't know, looks like they're given everything on a plate...",MIGRANTS,53,2,HS,dialo_gold
"It's actually very tough surviving as a new migrant in the UK, especially if you are seeking asylum, living on £30-40 a week for all expenses, when the base rate for those on universal credit is around £110.",MIGRANTS,53,3,CN,dialo_gold
"Wow that's actually not a lot, but what about the other stuff, free healthcare and stuff when they've never paid in in their lives?",MIGRANTS,53,4,HS,dialo_gold
"A lot of migrants really want to contribute to our society, so they will pay into public funds as they start earning here, or might become job creators by starting businesses.",MIGRANTS,53,5,CN,dialo_gold
Just seen that a migrant family (Muslim of course) have been given a house worth 1 MILLION by the government because they have so many kids. FFS we can't keep paying for these people to live in luxury!!,MIGRANTS,54,0,HS,dialo_gold
"Knowing the way social housing works, that doesn't sound true, do you have a link to the article? I wonder if it's reliable...",MIGRANTS,54,1,CN,dialo_gold
"Yes here, makes me so angry that they just come over here expecting to be given everything and not work for it.",MIGRANTS,54,2,HS,dialo_gold
"This is fake news! This site is known to be a very biased and unreliable source. If you do a reverse image search on the picture of the family used, they are a stock photo! Don't believe everything you read.",MIGRANTS,54,3,CN,dialo_gold
Just seen a video on facebook about 'drag queen story time' where men dressed as women indoctrinate kids into thinking this is 'normal'. What is the world coming to?,LGBT+,55,0,HS,dialo_gold
"Drag queen story time is not trying to indoctrinate kids with anything, it's just a fun event and the kids like the drag queens because they're colourful and sparkly.",LGBT+,55,1,CN,dialo_gold
But showing kids this stuff? Is that safe? What are they going to grow up thinking?,LGBT+,55,2,HS,dialo_gold
"They'll probably grow up with a more open mind towards gender expression in all it's forms, and I don't think that's a bad thing!",LGBT+,55,3,CN,dialo_gold
4 million people waiting for NHS treatments but we can still afford to spend 2 BILLION on health tourism for people who have paid nothing into the NHS...,MIGRANTS,56,0,HS,dialo_gold
"Health tourism actually only makes up 0.3% of the NHS budget, stop scapegoating migrants for the state of the NHS, when the real problem is that it has been critically underfunded for years.",MIGRANTS,56,1,CN,dialo_gold
What about all the migrants that come here and stay? Using our NHS for years whilst probably sponging even more off our government in benefits.,MIGRANTS,56,2,HS,dialo_gold
"Actually, migrants with leave to remain in the UK have to pay a health surcharge of around £300 towards the NHS, so they don't pay in nothing, they contribute.",MIGRANTS,56,3,CN,dialo_gold
"All these asylum seekers coming here and expecting benefits, not wanting to work. Why are we letting in such lazy people?",MIGRANTS,57,0,HS,dialo_gold
"Actually, a lot of asylum seekers really want to work, but it's illegal for them to do so whilst their claim is being processed. They are only allowed to live on asylum support in this time.",MIGRANTS,57,1,CN,dialo_gold
"Sounds like a cushy life, not being allowed to work and having to just lay about all day getting benefits.",MIGRANTS,57,2,HS,dialo_gold
"Asylum support is a very small amount of money to live on and many really want to work. Some take cash in hand work but this can often be underpaid and exploitative because it's illegal, and if it's found they have been working their claim can be rejected.",MIGRANTS,57,3,CN,dialo_gold
It's a disgrace that we have so many homeless veterans but we give free houses and stays in 4 star hotels to migrants who've just arrived here. They should go back where they came from.,MIGRANTS,58,0,HS,dialo_gold
"It's definitely a disgrace that in such a rich country we leave homeless people on the streets, especially when there's actually enough housing for everyone it's just not distributed properly. Migrants don't have an easy time either though, and it's not their fault that the government ignores homelessness as an issue.",MIGRANTS,58,1,CN,dialo_gold
But shouldn't we be putting our homeless veterans in the hotels and houses that migrants get? That makes a lot more sense to me,MIGRANTS,58,2,HS,dialo_gold
"No, because there actually is enough housing for everyone, it's just distributed unevenly. The government has decimated it's supply of social housing over the last few decades, and many cities are filled with overpriced unsold flats. If we could repurpose some of these builds, or if they could be let out at a more affordable rate, we wouldn't have this problem.",MIGRANTS,58,3,CN,dialo_gold
"We have a shortage of housing and yet we're still giving migrants free flats, houses, or putting them up in fancy hotels. Why does our government bend over backwards to accommodate people who have never contributed anything to this country?",MIGRANTS,59,0,HS,dialo_gold
"We don't actually have a shortage of housing, there are estimated to be around 600,000 empty homes. Also, the housing that migrants often get allocated is very low quality, sometimes to the point that it can be dangerous to people's health.",MIGRANTS,59,1,CN,dialo_gold
If there are so many empty homes how come British people have to wait so long to get a house?,MIGRANTS,59,2,HS,dialo_gold
The government has decimated it's supply of social housing over the last few decades with policies such as the 'right to buy' scheme. It should invest in it so that British people and migrants can all access affordable housing!,MIGRANTS,59,3,CN,dialo_gold
"Migrants coming here for health tourism are bankrupting our NHS, how come we just keep letting them come over? They should be refused from hospitals if they can't prove they are citizens here.",MIGRANTS,60,0,HS,dialo_gold
"The point of the NHS is that it's for everyone, free at the point of use. To start checking where someone is from and then possibly refuse them service because of it goes against everything the NHS was built on.",MIGRANTS,60,1,CN,dialo_gold
What about the huge cost of it though? We need to stamp out health tourism,MIGRANTS,60,2,HS,dialo_gold
"Actually, heath tourism makes up about 0.3% of the total NHS budget, so whilst some people might exploit it, it's not a big problem. A bigger problem is how underfunded the NHS is and how it's staff's wages haven't risen for years!",MIGRANTS,60,3,CN,dialo_gold
"We need to put a stop to these migrants coming here over the channel in dinghies, they just come here so they can claim asylum support and live an easy life, sponging off the British government whilst we all pay for them.",MIGRANTS,61,0,HS,dialo_gold
Most asylum seekers really want to work but they're not allowed to unless their claim is accepted and they gain refugee status.,MIGRANTS,61,1,CN,dialo_gold
Are you sure? If they're getting benefits for free why would they?,MIGRANTS,61,2,HS,dialo_gold
"Because asylum support is less than £40 a week, for everything, which a lot of people would struggle to live on. They also want to integrate into society and become part of their communities, and working can be a good way to do this, but they're not allowed!",MIGRANTS,61,3,CN,dialo_gold
"These migrants that come over and work for cash in hand, undercutting whatever Brits will work for, are harming our industries. It's so hard to get work now because there'll always be some Eastern European who'll do it for cheaper!",MIGRANTS,62,0,HS,dialo_gold
Surely the problem here is not the migrants trying to make a living but the exploitative employers who are hiring people for less than minimum wage and underpaying them?,MIGRANTS,62,1,CN,dialo_gold
"I guess so, but it means they always get picked for jobs because they always go with who can do it cheapest",MIGRANTS,62,2,HS,dialo_gold
"This kind of employment causes lots of problems for migrants too though, because there's no accountability they sometimes don't get paid at all, or will end up working for next to nothing or a meal instead of real pay. Maybe migrant and British workers need to come together to take a stand against exploitative employers?",MIGRANTS,62,3,CN,dialo_gold
"immigrants are pushing our school system to it's limits! More and more pupils from non-white backgrounds whilst the white population stays stagnant, and spending per pupil has gone down. They need to stop taking up resources for British people!",MIGRANTS,63,0,HS,dialo_gold
"I hardly think the fact immigrants have children is the reason why the education system is under pressure, maybe the government needs to fund it better? It seems like a stretch to say that pupil spending going down is due to migration.",MIGRANTS,63,1,CN,dialo_gold
"Well they're having more kids per family than white British families are, that means they're sending more kids into our schools.",MIGRANTS,63,2,HS,dialo_gold
"I think you're trying to make an issue out of something that's not a problem. People have children, the children go to school, it doesn't matter if they're white or not, or British or not.",MIGRANTS,63,3,CN,dialo_gold
"Makes me laugh when women moan about not being paid as much as men, maybe that’s because you should be at home cleaning and child rearing?",WOMEN,64,0,HS,dialo_gold
Women have proven to be just as proficient as men in paid employment and should be paid equally to reflect this. Your attitudes are stale and outdated.,WOMEN,64,1,CN,dialo_gold
It’s not in their nature to excel in the skills men are better at.,WOMEN,64,2,HS,dialo_gold
"Maybe the skills you’re talking about don’t come more naturally to men, maybe it’s because men are socialised to value things like strength and logic, whilst women are taught to care more about things like their appearance.",WOMEN,64,3,CN,dialo_gold
Allowing women to vote is one of the worst things to happen to our society. They can't use logic like men can to make decisions about things like politics.,WOMEN,65,0,HS,dialo_gold
Women fought hard for their right to vote and deserve to have a say about who's running the country.,WOMEN,65,1,CN,dialo_gold
Their brains can't fully comprehend the pros and cons of different parties in an election,WOMEN,65,2,HS,dialo_gold
"I'd strongly disagree with that, if you hold the belief that women can't think for themselves like men do, I suggest you get more women in your life because you obviously don't see them as people and need to understand that they're your equals!",WOMEN,65,3,CN,dialo_gold
Shouted across the road to complement a bird the other day and she told be to f*** off. You can't say anything anymore without it being seen as 'sexist'! PC gone mad.,WOMEN,66,0,HS,dialo_gold
"If you want to complement someone, you can approach them and politely talk to them, shouting at a woman across the road is cat calling and might have made her feel unsafe in public!",WOMEN,66,1,CN,dialo_gold
"It's a complement though, she's not 'unsafe' around me.",WOMEN,66,2,HS,dialo_gold
"You know that, but she doesn't. Public spaces can be daunting for women when they get cat called. It's a show of male dominance, letting women know they are being watched. Especially if she was on her own, I can see how she might be annoyed or intimidated.",WOMEN,66,3,CN,dialo_gold
"I don't know how girls nowadays expect to be treated with respect when they go out wearing next to nothing, looking like sluts.",WOMEN,67,0,HS,dialo_gold
"Women deserve respect whatever they're wearing because they are human beings, it shouldn't matter what clothes someone is wearing.",WOMEN,67,1,CN,dialo_gold
But they go out in tiny skirts with their boobs out and wonder why guys don't see them as more than a sex object? They're sexualising themselves.,WOMEN,67,2,HS,dialo_gold
"Even if someone is sexualising themselves, it's not your problem or your business. Why do you care what someone else you don't even know wears? There are probably some women who don't agree with your fashion choices but they don't tell you because it's none of their business.",WOMEN,67,3,CN,dialo_gold
Called a woman a 'bird' the other day and she got mad at me. You can't say anything anymore! Lasses are too easily offended these days.,WOMEN,68,0,HS,dialo_gold
It's because it's dehumanising and is sometimes used in a derogatory or objectifying way. Maybe refer to women as women and you won't have a problem?,WOMEN,68,1,CN,dialo_gold
"I didn't say it to be derogatory, she just took it the wrong way, and I should be able to say what I want.",WOMEN,68,2,HS,dialo_gold
"Sure, you can say what you want, but there's a basic level of respect that you need to have for another person if you want them to treat you with respect back e.g. you can say 'bird' if you want but the woman you said it to can be angry back at you if she wants because she doesn't like being called that!",WOMEN,68,3,CN,dialo_gold
Why are there so many female politicians these days? Women are not natural born leaders like men are.,WOMEN,69,0,HS,dialo_gold
"How can you say that? There are so many female politicians doing a great job, showing that they can lead as well as men, sometimes better.",WOMEN,69,1,CN,dialo_gold
"Oh yeah? Like who? There are female politicians but not many female leaders as they never get that far, because they're not cut out for it.",WOMEN,69,2,HS,dialo_gold
"Jacinda Arden, the Prime Minister of New Zealand, for one. She managed to lead a country through a pandemic more successfully than any other countries ruled by men, and has dealt well with events like extreme weather events, terrorist attacks, all done diplomatically and calmly.",WOMEN,69,3,CN,dialo_gold
"The jews are the reason we have the problems we have today. Diversity, immigration, feminism, it's all part of their plan to destroy European people and their culture.",JEWS,70,0,HS,dialo_gold
"This isn't true, what gave you this idea?",JEWS,70,1,CN,dialo_gold
"Have you read about the Kalergi Plan? If not, I'd suggest you look it up. It explains how the jews in power are the ones pushing these societal changes to subordinate white people.",JEWS,70,2,HS,dialo_gold
"The Kalergi Plan is an anti-Semitic conspiracy theory, it's not based in any truth. Please look up some critiques of it, there's a lot of literature on the internet about it but if you only read one side, you can end up believing things that are wildly untrue!",JEWS,70,3,CN,dialo_gold
Jews always pretend to be persecuted victims when in reality they're the ones controlling us.,JEWS,71,0,HS,dialo_gold
"Jewish people have historically been persecuted and anti-Semitism today still stems from these historic events, but Jewish people aren't 'controlling us', what gives you that idea?",JEWS,71,1,CN,dialo_gold
"There are a disproportionate amount of Jews in positions of power like government, media, banks etc. There's an imbalance of power.",JEWS,71,2,HS,dialo_gold
"Yes, some fields have disproportionate amounts of certain demographics, but this doesn't mean Jewish people are all in on some plot to 'control' us. There's also a disproportionate number of white men in positions of power but there's no conspiracies about them getting together as a group to exert 'control'.",JEWS,71,3,CN,dialo_gold
The holocaust never happened. It's all a lie to make people feel sorry for Jews.,JEWS,72,0,HS,dialo_gold
"There's lots of evidence that the holocaust happened, survivors, concentration camps, documents, millions of lives ended. How can you say it never happened when there's so much evidence to show that it did?",JEWS,72,1,CN,dialo_gold
"That's all fabricated, I've been reading about it and it can all be explained.",JEWS,72,2,HS,dialo_gold
"What about the 6 million people that died? The Jewish population wasn't decimated for no reason, there was a genocide. To deny this is ignorant and insulting.",JEWS,72,3,CN,dialo_gold
"Jews are the reason we have so many third world immigrants in our country, they want us whites replaced.",JEWS,73,0,HS,dialo_gold
"This isn't true, what makes you say this?",JEWS,73,1,CN,dialo_gold
"They are consciously trying to replace the white race, you should read about the Great Replacement, it explains exactly what's happening.",JEWS,73,2,HS,dialo_gold
"The great replacement is an anti-Semitic conspiracy theory that's not based in facts or evidence. If you're going to do so much research into it, you should also read the criticisms of it, to get a balanced view.",JEWS,73,3,CN,dialo_gold
homosexuals are mentally ill. No one in their right mind would think this perverted behaviour is okay.,LGBT+,74,0,HS,dialo_gold
"Being gay isn't a mental illness, it's a perfectly normal lifestyle.",LGBT+,74,1,CN,dialo_gold
There's nothing normal about two men being together.,LGBT+,74,2,HS,dialo_gold
"I suggest you educate yourself about the LGBT community. If you actually talked to some real gay people you'd see that there's really no difference between you and them, everyone is just trying to live their lives in a way that makes them happy.",LGBT+,74,3,CN,dialo_gold
How much danger are we putting children in by letting gay couples adopt? We don't know how they're raising them or what they might do to them...,LGBT+,75,0,HS,dialo_gold
"There are so many gay couples that give kids great lives through adoption, why do you think they shouldn't adopt?",LGBT+,75,1,CN,dialo_gold
They might try and indoctrinate the kids into being gay too.,LGBT+,75,2,HS,dialo_gold
"Just because the parents are gay doesn't mean they would raise their kids as 'gay'. If anything gay parents know what it's like to be scared of coming out, and so would probably want their kids to feel comfortable being whatever they are.",LGBT+,75,3,CN,dialo_gold
"The kids will grow up in a twisted family structure too though, they'll think it's normal to not have a mum, or in lesbian couples, a father.",LGBT+,75,4,HS,dialo_gold
They're being adopted? I'm sure these children care more that their adoptive parents are caring and loving rather than what gender they are. Isn't it better that a same sex couple adopts rather than a child growing up without a family?,LGBT+,75,5,CN,dialo_gold
"Cultural Marxism hates the traditional family and wants to destroy it. This is what the LGBT agenda wants, it’s not about equality or pride, it’s sinister!",LGBT+,76,0,HS,dialo_gold
"LGBT people have no agenda, they're just trying to get on with their lives in peace! What do you mean about the traditional family?",LGBT+,76,1,CN,dialo_gold
"Teaching people it's alright to be in same sex relationships means there will be less traditional nuclear families in the future, which will be bad for our society.",LGBT+,76,2,HS,dialo_gold
I don't think it's necessary for people to be in nuclear families for 'society'. Same sex relationships and families are valid and real. Why do you care what other people's relationships or families look like?,LGBT+,76,3,CN,dialo_gold
How will they have children?,LGBT+,76,4,HS,dialo_gold
"They can adopt, use surrogacy, or they might not want children and that's okay too!",LGBT+,76,5,CN,dialo_gold
"Fags want their agenda taught in schools now, this is harmful to our children and has got to stop!",LGBT+,77,0,HS,dialo_gold
What exactly have you seen will be taught in schools?,LGBT+,77,1,CN,dialo_gold
They want learning about LGBT to be part of sex and relationship education. How many children are going to grow up thinking these freaks are 'normal'?,LGBT+,77,2,HS,dialo_gold
"LGBT relationships are normal and completely valid. If we're teaching children about straight relationships, why wouldn't we teach them about other orientations too?",LGBT+,77,3,CN,dialo_gold
"But teaching kids about this might encourage them to be gay, they're too young when they're in primary school and very easily influenced.",LGBT+,77,4,HS,dialo_gold
Have you heard of the term 'compulsory heterosexuality'? There is a lot of conditioning in our society that assumes all people are straight and forces them to behave in a way in line with this. I wouldn't worry about LGBT relationships being acknowledged in schools 'turning' kids gay when so much of our media and socialisation tells people they are straight.,LGBT+,77,5,CN,dialo_gold
Poofs spread AIDS,LGBT+,78,0,HS,dialo_gold
"The HIV AIDS epidemic in the 80's disproportionately affected the LGBT community but today HIV is easily dealt with with medication which makes it untransmitable and undetectable. It's also not very common, in gay or straight people.",LGBT+,78,1,CN,dialo_gold
How are we meant to know which ones have it though?,LGBT+,78,2,HS,dialo_gold
"That's not your problem. As I said, people who have HIV now have medication which makes the disease manageable, untransmitable, and undetectable. Also, you can only catch HIV through sex or if it were to get in your bloodstream, not just from being around someone. The biggest issue with HIV today is the stigma around it!",LGBT+,78,3,CN,dialo_gold
"LGBT history month now being taught in schools… I’m sick of this being shoved down our throats, what happened to British, European and World history being taught? Identity politics gone mad.",LGBT+,79,0,HS,dialo_gold
"We still can teach British, European and World history, but part of that is looking at the history of groups which have been erased from our history previously. Looking at the some of the historic struggles of LGBT people in the UK can inform the future for everyone!",LGBT+,79,1,CN,dialo_gold
"Do we have to discuss the sexuality of everyone in history when it’s largely irrelevant? If they were persecuted for it then fair enough, stick it in there and say how wrong it was, otherwise leave well alone.",LGBT+,79,2,HS,dialo_gold
"LGBT people have been persecuted until recently in the UK, and it's still illegal to be gay in over 70 countries. I think it's important that people see that there have always been LGBT people, throughout history and that LGBT identities are not 'new' or a 'trend', they're real.",LGBT+,79,3,CN,dialo_gold
"Pride disgusts me, homosexuals parading their deviant lifestyles in public like they have anything to be proud of.",LGBT+,80,0,HS,dialo_gold
"They do have a lot to be proud of! The LGBT community has fought hard to win basic rights for themselves, they should be proud of their struggle, and of their identities, especially when many have been told to be ashamed of them for so long.",LGBT+,80,1,CN,dialo_gold
"There's a reason they weren't accepted in the past, I can't believe we 'celebrate' this behaviour now.",LGBT+,80,2,HS,dialo_gold
"Yes, the reason was ignorance and fear of the otherness that some people saw in LGBT people. I'm glad we're at a place as a society now where the majority of people accept that everyone is different, and who somebody chooses to love is none of anyone's business, and is definitely not their problem!",LGBT+,80,3,CN,dialo_gold
Tolerating fag pride means we let the feminisation of our society happen. This will have consequences.,LGBT+,81,0,HS,dialo_gold
What do you mean by 'feminisation' and what are the consequences?,LGBT+,81,1,CN,dialo_gold
"Men aren't real men anymore, telling men it's okay to be gay or to dress in womens clothing is making men soft and eroding our traditional roles and the nuclear family.",LGBT+,81,2,HS,dialo_gold
"There's nothing unmanly about being gay, and for men who like to express femininity, there's nothing wrong with that either. If anything it shows they are secure enough in their masculinity to experiment. For others, such as non binary people and trans women, I'm glad we now live in a society where there is more acceptance of people expressing their gender however they feel is right.",LGBT+,81,3,CN,dialo_gold
It disgusts me when I see women who think they're lesbians. They obviously have a mental illness or haven't found the right man to show them how much happier they'd be in a normal relationship.,LGBT+,82,0,HS,dialo_gold
"Or maybe they're just lesbians so they're not interested in men? You can't force someone to be something they're not, and it doesn't affect you if they choose to be in same sex relationships.",LGBT+,82,1,CN,dialo_gold
"It's not natural, lesbianism makes women take on masculine roles that are better suited to men.",LGBT+,82,2,HS,dialo_gold
"It sounds like you don't know any lesbians in real life. Gender roles are socially conditioned into us, whether someone feels more feminine or masculine, again, is none of your business and doesn't affect you in any way!",LGBT+,82,3,CN,dialo_gold
It's vile that we are confusing children with bisexual characters on tv… whatever next? trans SpongeBob?,LGBT+,83,0,HS,dialo_gold
There's nothing vile or confusing about bisexuality. I'm sure children can wrap their heads around it. It simply means someone is attracted to more than one gender. What's so hard to get about that?,LGBT+,83,1,CN,dialo_gold
There are only two genders.,LGBT+,83,2,HS,dialo_gold
"Bisexual people might be attracted to men, women, non-binary people, etc. The point is that it's about the person and who they are, not their gender.",LGBT+,83,3,CN,dialo_gold
Now the innocence of children is being eroded by comics with a bi-sexual superman. How can we protect our children from this nonsense?,LGBT+,84,0,HS,dialo_gold
"Nothing about superman being bisexual is eroding the innocence of children. If you can teach children about straight relationships, you can teach them that bisexuals exist. If you think otherwise, you need to be educated about bisexuality. If you have any questions ask them!",LGBT+,84,1,CN,dialo_gold
"It's teaching them that it's normal to have sexual relationships with multiple people, men or women, there's no morality in it.",LGBT+,84,2,HS,dialo_gold
"Being bisexual doesn't mean that you have multiple partners at once (although some people bi, straight, or gay do choose to), it just means you are attracted to more than one gender. For me bisexuality means being attracted to someone because of who they are as a person, not because of gender. There's nothing harmful about teaching children about that!",LGBT+,84,3,CN,dialo_gold
"First there's bisexual characters on tv, next we're normalising child marriage. It's a slippery slope...",LGBT+,85,0,HS,dialo_gold
There's absolutely no link between bisexuality and child marriage. What are you implying?,LGBT+,85,1,CN,dialo_gold
Normalising deviance and making people accept it opens us up as a society to having to 'accept' even more perverted things.,LGBT+,85,2,HS,dialo_gold
"There's nothing 'deviant' about bisexuals. It really doesn't affect anyone else if someone chooses to be with a man, a woman, or a non-binary person.",LGBT+,85,3,CN,dialo_gold
Superman is now bisexual?? He has become a bit of a slag - with no morals and a predator he’s happy to get it away with anyone he comes across.,LGBT+,86,0,HS,dialo_gold
"Bisexuals aren't 'slags', being attracted to people of all genders doesn't make you a predator or mean that you have 'no morals' it just means gender isn't the deciding factor in who you're attracted to.",LGBT+,86,1,CN,dialo_gold
Sounds like they can't make up their minds and are confused. Probably some of these people are gay and in denial or straight and greedy.,LGBT+,86,2,HS,dialo_gold
"Those are outdated stereotypes about bisexuals. They don't have to make up their minds because you can be attracted to different sorts of people. Are you attracted to people with blonde hair or brown hair, and if you can't pick one, does that make you 'confused'? Think of it that way. There's no need to 'pick a side'.",LGBT+,86,3,CN,dialo_gold
Can't believe they are making tv characters that have been around for years 'bisexual' now. This is PC gone mad.,LGBT+,87,0,HS,dialo_gold
Why does it bother you?,LGBT+,87,1,CN,dialo_gold
"Why do we have to bring sexuality into things like tv shows? It's not necessary, just all part of the woke agenda.",LGBT+,87,2,HS,dialo_gold
It's good to have representation. a few decades ago there were no bisexual characters on tv. Seeing them would have made young bisexual people feel validated and less ashamed about coming out.,LGBT+,87,3,CN,dialo_gold
Making tv characters bisexual is an attack on white masculinity. We are being erased.,LGBT+,88,0,HS,dialo_gold
"There are still plenty of white men on tv, some just happen to be bisexual. How is it an attack on masculinity? Bisexual men can be masculine, and are sometimes more secure in their masculinity than many straight men as their masculinity isn't dependent on heterosexuality!",LGBT+,88,1,CN,dialo_gold
There's nothing masculine about being bent,LGBT+,88,2,HS,dialo_gold
